id;preparacao;energia;proteina;lipidios; carboidrato;fibra;colesterol;acucartotal;acucaradicao;calcio;magnesio;ferro;sodio;sodioadicao;potassio;vitamina_a;tiamina;vitamina_d;vitamina_e;vitamina_c
8004601;99;286,6;6,91;4,24;55,27;0,65;160,65;39,84;37,88;23,76;10,13;1,46;47,87;0;132,31;65,7;0,19;0,48;0,44;6,02
8004701;99;392;9,8;18,3;47,1;1,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8004801;99;472;6,4;19,6;70,5;3;0;40,62;40,53;27;48;2,3;239;0;232;0;0,32;0;0;0
8004807;99;430,32;6,25;12,49;74,79;2,25;15,64;34,84;33,85;34,82;23,45;2,82;717,78;0;114,85;2,68;0,41;0,04;0,91;0,03
8004809;99;505,21;6,47;22,55;70,85;2,43;0,02;25,21;24,8;68,59;26,03;3,09;354,18;0;119,45;0,12;0,46;0;2,15;0,01
8004810;99;472;6,4;19,6;70,5;3;0;40,62;40,53;27;48;2,3;239;0;232;0;0,32;0;0;0
8004813;99;620,2;5,57;26,28;98,06;3,22;78,21;74,97;75,63;53,67;56,23;3,25;151,83;0;182,93;140,12;0,21;0,55;0,62;0
8004814;99;472;6,4;19,6;70,5;3;0;40,62;40,53;27;48;2,3;239;0;232;0;0,32;0;0;0
8005201;99;432;10,1;14,4;68,7;2,5;0;10,64;10,58;20;40;2,2;854;0;181;0;0,71;0;0;0
8006101;99;203,18;13,96;12,46;8,27;0,66;77,23;1,75;0;91,91;21,82;1,54;332,45;50;198,64;67,25;0,09;0,57;1,02;0,78
8006501;99;198;9,1;2,3;43,6;12;0;4,11;3,82;80;39;2,96;511;0;122;0;0,42;0;0,24;0,1
8006601;99;198;9,1;2,3;43,6;12;0;4,11;3,82;80;39;2,96;511;0;122;0;0,42;0;0,24;0,1
8006701;99;363;5,1;24,6;34,2;0,6;68;0;0;102;8;0,3;773;0;93;0;0,04;0;0;0
8006801;99;198;9,1;2,3;43,6;12;0;4,11;3,82;80;39;2,96;511;0;122;0;0,42;0;0,24;0,1
8007001;99;121,84;2,29;5,4;16,06;0,5;3,76;7,84;5,92;51,45;9,66;0,41;236,66;0;82,69;10,69;0,07;0,38;0,06;0
8007101;99;99,17;2,25;5,3;10,66;0,37;3,76;2,31;0,22;52,43;8,34;0,52;141,83;0;108,17;10,69;0,07;0,38;0,06;0
8007302;99;426,53;6,44;22,95;48,69;1,4;46,5;15,48;14,25;93,2;13,18;2,26;244,63;0;90,26;79,59;0,35;0,32;1,48;0,05
8007402;99;426,53;6,44;22,95;48,69;1,4;46,5;15,48;14,25;93,2;13,18;2,26;244,63;0;90,26;79,59;0,35;0,32;1,48;0,05
8007501;99;299,49;4,59;9,36;52,45;2;49,83;32,49;32,25;43,44;32,2;2,59;150,69;0;103,85;62;0,2;0,19;0,26;0
8007601;99;299,49;4,59;9,36;52,45;2;49,83;32,49;32,25;43,44;32,2;2,59;150,69;0;103,85;62;0,2;0,19;0,26;0
8007701;99;328,38;4,76;9,48;58,31;2,36;57,98;34,4;30,76;67,71;32,47;1,98;104,21;0;254,15;59,93;0,24;0,21;0,38;5,31
